generator,metric,mean_delta,ci_lo,ci_hi,p_value,n_pairs
smote,pr_auc,-7.739015441154962e-06,-7.739015441154962e-06,-7.739015441154962e-06,1.0,1
smote-enn,pr_auc,0.000721116411878775,0.000721116411878775,0.000721116411878775,1.0,1
smote-tomek,pr_auc,2.4006888418082184e-05,2.4006888418082184e-05,2.4006888418082184e-05,1.0,1
smote,f1_macro,0.00010121949042452005,0.00010121949042452005,0.00010121949042452005,1.0,1
smote-enn,f1_macro,-0.0020601875111119217,-0.0020601875111119217,-0.0020601875111119217,1.0,1
smote-tomek,f1_macro,-0.0003701133417921554,-0.0003701133417921554,-0.0003701133417921554,1.0,1
