generator,metric,mean_delta,ci_lo,ci_hi,p_value,n_pairs
smote,pr_auc,-0.027499256499154745,-0.027499256499154745,-0.027499256499154745,1.0,1
smote,f1_macro,-0.002579952896518023,-0.002579952896518023,-0.002579952896518023,1.0,1
